symbol,target_weight,timestamp_utc
AAPL,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
AMAT,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
AMD,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
AMZN,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
APD,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
AVGO,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
BLK,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
CAT,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
COST,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
CSCO,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
EOG,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
GOOG,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
GOOGL,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
GS,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
INTC,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
KO,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
LIN,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
MPC,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
MS,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
NEE,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
NVDA,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
ORCL,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
QCOM,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
SBUX,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
SLB,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
TSLA,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
TXN,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
UNH,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
UNP,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
WMT,0.03266666666666666,2026-05-15T11:23:53.363277+00:00
