symbol,current_weight,target_weight,delta_weight,notional,side,submitted,order_id,status
BIL,0.9852745851762946,0.0,-0.9852745851762946,1001073.098598,sell,True,73450191-9195-4495-b41a-bdf8b49e0387,OrderStatus.PENDING_NEW
PSX,0.03293079768157115,0.0,-0.03293079768157115,33458.830838,sell,False,,"ERROR: APIError('{""available"":""193.347765605"",""code"":40310000,""existing_qty"":""193.347765605"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 193.823779869, available: 193.347765605)"",""symbol"":""PSX""}')"
WMT,0.0,0.03266666666666666,0.03266666666666666,33190.46458,buy,False,,"ERROR: APIError('{""buying_power"":""2181.79"",""code"":40310000,""cost_basis"":""33190.46"",""message"":""insufficient buying power""}')"
