symbol,qty,market_value,weight,timestamp_utc
RSP,0.067917457,13.814411,1.3527995335790962e-05,2026-05-14T13:20:52.785904+00:00
BIL,10937.103666535,1000744.985488,0.9799964324210316,2026-05-14T13:34:45.009111+00:00
RSP,0.067917457,13.819165,1.3532650770599318e-05,2026-05-14T13:34:45.009111+00:00
AAPL,112.038322025,33368.373449,0.032521416254206716,2026-05-14T20:30:52.580552+00:00
AMAT,75.685286443,34853.074407,0.03396843248177128,2026-05-14T20:30:52.580552+00:00
AMD,76.191791147,34065.349822,0.03320070194909753,2026-05-14T20:30:52.580552+00:00
AMZN,123.642070933,33027.269988,0.032188970692906396,2026-05-14T20:30:52.580552+00:00
APD,109.644538699,32879.10782,0.032044569182116,2026-05-14T20:30:52.580552+00:00
AVGO,77.755686977,34198.506246,0.033330478592194755,2026-05-14T20:30:52.580552+00:00
BIL,10937.103666535,1000854.356525,0.975450637057084,2026-05-14T20:30:52.580552+00:00
BLK,30.242414077,33388.532413,0.03254106354269381,2026-05-14T20:30:52.580552+00:00
CAT,36.778710033,33836.41323,0.032977576233496474,2026-05-14T20:30:52.580552+00:00
COST,32.221040428,33497.63805,0.032647399856688276,2026-05-14T20:30:52.580552+00:00
CSCO,281.117642105,32380.451271,0.03155856955067753,2026-05-14T20:30:52.580552+00:00
EOG,247.171680497,33612.876831,0.032759713643012216,2026-05-14T20:30:52.580552+00:00
GOOG,84.161595519,33403.737261,0.032555882460722455,2026-05-14T20:30:52.580552+00:00
GOOGL,83.484667951,33443.957981,0.032595082297033416,2026-05-14T20:30:52.580552+00:00
GS,34.468521063,33334.679063,0.03248857710026322,2026-05-14T20:30:52.580552+00:00
INTC,291.308034158,33602.38174,0.0327494849387705,2026-05-14T20:30:52.580552+00:00
KO,416.811969015,33524.186668,0.032673274616759264,2026-05-14T20:30:52.580552+00:00
LIN,65.055585873,33285.690512,0.03244083197833822,2026-05-14T20:30:52.580552+00:00
MPC,133.641640959,33252.713103,0.032408691603060015,2026-05-14T20:30:52.580552+00:00
MS,170.884124788,33242.088795,0.03239833696160861,2026-05-14T20:30:52.580552+00:00
NEE,353.035135993,33778.401812,0.0329210372632899,2026-05-14T20:30:52.580552+00:00
NVDA,144.519958392,33986.758615,0.03312410554679839,2026-05-14T20:30:52.580552+00:00
ORCL,178.788133776,35008.504475,0.034119917418475594,2026-05-14T20:30:52.580552+00:00
PSX,193.347765605,33193.944399,0.03235141456831256,2026-05-14T20:30:52.580552+00:00
QCOM,164.572548826,32861.84655,0.032027746038260814,2026-05-14T20:30:52.580552+00:00
RSP,0.067917457,13.832069,1.3480982952118988e-05,2026-05-14T20:30:52.580552+00:00
SBUX,307.676535694,32736.783398,0.03190585724345721,2026-05-14T20:30:52.580552+00:00
SLB,601.073166336,33509.829023,0.03265928139799513,2026-05-14T20:30:52.580552+00:00
TSLA,75.198218313,33275.963586,0.03243135194150623,2026-05-14T20:30:52.580552+00:00
TXN,109.450390445,33601.269867,0.03274840128736897,2026-05-14T20:30:52.580552+00:00
UNH,84.032269441,33513.749698,0.03266310255828834,2026-05-14T20:30:52.580552+00:00
UNP,125.588952897,33846.222806,0.03298713682250333,2026-05-14T20:30:52.580552+00:00
AAPL,112.038322025,33398.623796,0.032715549619539215,2026-05-15T00:05:52.626105+00:00
AMAT,75.685286443,33343.909795,0.03266195463833483,2026-05-15T00:05:52.626105+00:00
AMD,76.191791147,34133.922434,0.03343580980821051,2026-05-15T00:05:52.626105+00:00
AMZN,123.642070933,33392.014097,0.0327090751031961,2026-05-15T00:05:52.626105+00:00
APD,109.644538699,33379.086916,0.03269641231103947,2026-05-15T00:05:52.626105+00:00
AVGO,77.755686977,34195.396019,0.03349602612528521,2026-05-15T00:05:52.626105+00:00
BIL,10937.103666535,1001073.098598,0.9805989860543637,2026-05-15T00:05:52.626105+00:00
BLK,30.242414077,32594.36662,0.03192774124428964,2026-05-15T00:05:52.626105+00:00
CAT,36.778710033,33202.716056,0.032523648617031754,2026-05-15T00:05:52.626105+00:00
COST,32.221040428,33123.22956,0.03244578779199134,2026-05-15T00:05:52.626105+00:00
CSCO,281.117642105,34256.995867,0.03355636612300815,2026-05-15T00:05:52.626105+00:00
EOG,247.171680497,32606.888091,0.031940006624094276,2026-05-15T00:05:52.626105+00:00
GOOG,84.161595519,33622.55741,0.03293490330623745,2026-05-15T00:05:52.626105+00:00
GOOGL,83.484667951,33405.555034,0.03272233909871353,2026-05-15T00:05:52.626105+00:00
GS,34.468521063,32931.914394,0.03225838543540103,2026-05-15T00:05:52.626105+00:00
INTC,291.308034158,33296.508304,0.032615522610466775,2026-05-15T00:05:52.626105+00:00
KO,416.811969015,33432.488035,0.03274872126152361,2026-05-15T00:05:52.626105+00:00
LIN,65.055585873,32815.989182,0.03214483114500551,2026-05-15T00:05:52.626105+00:00
MPC,133.641640959,33944.976804,0.03325072852547812,2026-05-15T00:05:52.626105+00:00
MS,170.884124788,33291.645191,0.03261075895865798,2026-05-15T00:05:52.626105+00:00
NEE,353.035135993,33397.123865,0.03271408036537605,2026-05-15T00:05:52.626105+00:00
NVDA,144.519958392,34787.399185,0.03407592154464428,2026-05-15T00:05:52.626105+00:00
ORCL,178.788133776,33925.048384,0.0332312076848192,2026-05-15T00:05:52.626105+00:00
PSX,193.347765605,33642.511215,0.03295444901271814,2026-05-15T00:05:52.626105+00:00
QCOM,164.572548826,33345.689843,0.032663698280498796,2026-05-15T00:05:52.626105+00:00
RSP,0.067917457,13.784527,1.3502603574473882e-05,2026-05-15T00:05:52.626105+00:00
SBUX,307.676535694,32739.860163,0.03207025912929032,2026-05-15T00:05:52.626105+00:00
SLB,601.073166336,33275.410488,0.0325948562904882,2026-05-15T00:05:52.626105+00:00
TSLA,75.198218313,33224.076815,0.03254457250225661,2026-05-15T00:05:52.626105+00:00
TXN,109.450390445,33488.535964,0.03280362288901197,2026-05-15T00:05:52.626105+00:00
UNH,84.032269441,33575.933578,0.032889233032558925,2026-05-15T00:05:52.626105+00:00
UNP,125.588952897,30357.361694,0.029736487912933166,2026-05-15T00:05:52.626105+00:00
AAPL,112.038322025,33035.966951,0.03251460725408543,2026-05-15T11:23:53.363277+00:00
AMAT,75.685286443,32809.571673,0.03229178485087659,2026-05-15T11:23:53.363277+00:00
AMD,76.191791147,33221.144776,0.032696862680753315,2026-05-15T11:23:53.363277+00:00
AMZN,123.642070933,32505.500448,0.031992512349702094,2026-05-15T11:23:53.363277+00:00
APD,109.644538699,33007.39193,0.032486483192014824,2026-05-15T11:23:53.363277+00:00
AVGO,77.755686977,33487.819267,0.03295932862741106,2026-05-15T11:23:53.363277+00:00
BIL,10937.103666535,1001073.098598,0.9852745851762946,2026-05-15T11:23:53.363277+00:00
BLK,30.242414077,33388.532413,0.03286160867666489,2026-05-15T11:23:53.363277+00:00
CAT,36.778710033,33468.62613,0.03294043838840414,2026-05-15T11:23:53.363277+00:00
COST,32.221040428,33574.001916,0.0330441511781936,2026-05-15T11:23:53.363277+00:00
CSCO,281.117642105,31738.631582,0.031237745884704737,2026-05-15T11:23:53.363277+00:00
EOG,247.171680497,33558.499061,0.03302889298271261,2026-05-15T11:23:53.363277+00:00
GOOG,84.161595519,32890.351529,0.03237128987325954,2026-05-15T11:23:53.363277+00:00
GOOGL,83.484667951,32904.647026,0.03238535976475526,2026-05-15T11:23:53.363277+00:00
GS,34.468521063,33186.292079,0.032662560014317624,2026-05-15T11:23:53.363277+00:00
INTC,291.308034158,32204.103176,0.031695871602329145,2026-05-15T11:23:53.363277+00:00
KO,416.811969015,33645.062139,0.033114089958725126,2026-05-15T11:23:53.363277+00:00
LIN,65.055585873,33270.077171,0.032745022845333524,2026-05-15T11:23:53.363277+00:00
MPC,133.641640959,33477.939361,0.03294960464192052,2026-05-15T11:23:53.363277+00:00
MS,170.884124788,33230.126906,0.03270570305856602,2026-05-15T11:23:53.363277+00:00
NEE,353.035135993,33711.325136,0.03317930722105407,2026-05-15T11:23:53.363277+00:00
NVDA,144.519958392,33366.767994,0.03284018773454602,2026-05-15T11:23:53.363277+00:00
ORCL,178.788133776,34318.382278,0.03377678404327616,2026-05-15T11:23:53.363277+00:00
PSX,193.347765605,33458.830838,0.03293079768157115,2026-05-15T11:23:53.363277+00:00
QCOM,164.572548826,33210.740353,0.03268662245596885,2026-05-15T11:23:53.363277+00:00
RSP,0.067917457,13.77366,1.355628990716586e-05,2026-05-15T11:23:53.363277+00:00
SBUX,307.676535694,32389.108913,0.031877957656817266,2026-05-15T11:23:53.363277+00:00
SLB,601.073166336,33503.818292,0.032975075162546386,2026-05-15T11:23:53.363277+00:00
TSLA,75.198218313,32722.504699,0.032206091931138214,2026-05-15T11:23:53.363277+00:00
TXN,109.450390445,33164.562809,0.03264117366649206,2026-05-15T11:23:53.363277+00:00
UNH,84.032269441,32923.843167,0.03240425296035431,2026-05-15T11:23:53.363277+00:00
UNP,125.588952897,33909.017282,0.033373879472986076,2026-05-15T11:23:53.363277+00:00
