timestamp_utc,portfolio_value,action,submit_orders
2026-04-29T05:04:28.795076+00:00,1000000.0,current_ew,True
2026-04-29T15:15:03.301131+00:00,1000000.0,current_ew,True
2026-04-30T15:11:54.516251+00:00,1010382.29,current_ew,True
2026-04-30T22:30:05.462621+00:00,1016308.03,current_ew,False
2026-05-02T02:19:22.274139+00:00,1013271.7,current_ew,True
2026-05-04T13:21:01.775904+00:00,1010969.97,current_ew,True
2026-05-04T13:28:12.422147+00:00,1010969.97,current_ew,True
2026-05-05T01:04:06.748680+00:00,1013761.43,current_ew,True
2026-05-05T12:55:16.738583+00:00,1010725.1,current_ew,True
2026-05-06T02:17:58.447477+00:00,1013761.43,current_ew,True
